return_id,user_id,return_date,returned_order_id,returned_food_id,returned_drink_id,return_quantity
1,2,2024-01-10 04:58:36,384,13,12,5
1,3,2023-10-21 07:05:30,461,13,13,8
1,4,2023-09-10 20:34:54,391,12,1,5
1,5,2024-01-07 14:11:31,41,8,13,2
2,5,2023-12-21 18:49:49,193,2,7,5
1,7,2023-10-03 15:59:20,158,3,5,5
2,7,2023-10-13 19:23:04,457,9,8,1
1,8,2023-10-30 17:36:41,419,10,14,7
2,8,2024-01-12 04:24:42,331,11,7,4
3,8,2024-01-30 13:02:07,469,5,12,3
1,10,2023-10-25 20:47:43,179,9,14,1
1,11,2023-10-29 11:45:04,492,11,13,4
2,11,2023-11-06 13:28:14,338,2,13,2
1,12,2024-05-29 21:32:25,462,10,9,1
2,12,2023-12-10 13:46:06,285,5,9,1
3,12,2023-12-01 15:48:56,421,10,1,9
1,14,2024-06-05 19:08:12,148,3,14,6
2,14,2023-09-12 16:59:03,356,12,8,8
3,14,2024-02-27 00:11:16,437,4,11,9
1,15,2023-07-22 23:51:39,329,8,2,10
2,15,2024-06-03 13:15:14,25,13,5,7
1,16,2023-12-25 18:05:50,119,12,10,1
2,16,2024-05-05 01:10:18,347,11,9,4
3,16,2023-12-16 15:20:59,141,9,11,3
1,17,2023-08-01 11:00:19,416,13,9,2
2,17,2024-06-26 17:17:44,417,5,11,9
3,17,2024-06-13 16:56:13,428,10,8,9
1,18,2023-09-26 12:31:38,105,1,6,1
1,19,2023-12-25 11:44:21,146,5,1,8
2,19,2024-04-23 03:12:53,46,14,5,7
1,20,2024-02-27 02:52:23,449,8,3,10
2,20,2024-02-25 01:31:28,442,12,14,1
1,21,2024-02-20 03:31:53,493,14,12,1
2,21,2024-05-30 06:51:42,147,7,8,6
3,21,2024-04-10 05:51:34,200,13,1,7
1,23,2023-11-20 15:25:01,291,11,8,3
2,23,2023-09-06 08:31:24,411,14,5,10
1,24,2023-08-11 13:16:18,31,3,9,9
2,24,2024-06-20 18:42:56,395,9,12,2
1,26,2023-10-19 12:51:42,449,5,5,2
2,26,2023-12-05 12:55:07,75,11,13,2
3,26,2023-08-26 13:23:06,326,8,6,5
1,27,2023-09-06 20:33:41,71,13,7,4
1,29,2024-04-02 20:15:16,291,6,14,4
2,29,2023-10-30 10:32:26,240,3,1,6
3,29,2024-06-26 09:51:08,315,3,3,8
1,30,2023-10-07 11:07:42,44,9,4,3
2,30,2024-06-03 22:50:31,279,4,5,2
1,31,2024-02-28 10:49:25,251,4,12,1
1,32,2023-10-07 00:30:43,379,3,4,1
1,33,2024-01-31 03:52:15,36,13,5,1
1,34,2024-06-07 19:45:52,431,10,6,1
1,35,2024-05-19 08:01:06,150,1,8,9
2,35,2023-09-24 17:55:01,354,7,1,9
1,36,2024-01-03 14:08:57,286,11,2,8
2,36,2023-12-25 03:08:46,498,14,3,2
3,36,2024-01-15 21:15:07,239,3,14,9
1,37,2023-11-30 18:59:52,137,8,1,3
1,38,2023-10-09 23:36:54,103,4,6,5
2,38,2024-01-12 17:44:01,69,9,7,8
1,40,2024-06-29 08:49:49,425,11,13,5
1,41,2023-07-20 21:49:02,76,3,9,6
2,41,2023-11-24 16:28:24,91,10,11,3
1,42,2024-05-23 05:03:44,461,8,7,9
1,43,2024-05-15 15:29:05,254,13,8,1
2,43,2023-10-01 22:28:52,370,4,14,2
3,43,2024-03-03 01:50:31,269,12,6,8
1,44,2024-03-06 11:55:02,489,1,14,6
1,45,2023-09-13 14:44:25,340,10,13,7
2,45,2023-11-14 16:54:01,313,9,14,3
3,45,2024-06-20 15:54:49,413,11,13,5
1,47,2024-07-07 16:23:05,436,11,6,6
2,47,2024-04-11 12:03:22,488,9,8,2
3,47,2023-08-28 04:29:26,6,3,10,9
1,50,2024-04-03 07:54:11,262,11,12,7
2,50,2024-02-25 05:46:52,157,10,11,1
1,51,2023-07-20 11:46:40,361,12,5,1
2,51,2024-04-29 11:33:56,390,3,8,10
3,51,2024-02-12 02:13:25,385,5,14,3
1,52,2023-08-04 00:02:02,11,6,8,7
2,52,2023-10-29 09:23:50,425,1,3,9
3,52,2023-08-28 23:45:13,235,1,6,2
1,53,2024-06-24 17:09:36,281,1,6,1
2,53,2024-02-17 19:48:38,355,7,1,4
1,54,2024-04-12 14:17:53,106,6,10,8
1,55,2023-07-27 02:46:16,162,3,5,4
2,55,2024-02-15 03:58:11,431,4,3,1
3,55,2024-06-14 00:27:24,111,5,9,10
1,56,2023-12-17 03:10:06,294,5,14,3
2,56,2023-09-11 18:14:14,299,14,14,3
3,56,2023-08-09 15:30:15,176,2,2,6
1,57,2024-01-12 21:27:23,488,12,5,9
1,58,2024-02-08 02:13:34,289,4,10,3
1,60,2024-05-19 01:48:50,132,7,4,8
2,60,2024-05-10 03:42:32,23,9,1,9
3,60,2023-11-18 14:00:10,423,10,7,1
1,63,2024-01-04 19:21:38,96,3,2,3
