user_id,birthyear,gender,subscription_start_date,subscription_end_date,subscription_type,subscription_status,last_login_date,average_watch_time,total_watch_time,favorite_genres
1,1998,female,2023-09-15 11:57:56,2024-05-13 10:23:58,2,1,2024-05-30 13:03:11,3.83,55.17,음악
2,1988,female,2023-11-04 18:29:45,,2,0,2024-02-22 01:13:57,2.17,118.45,멜로
3,1995,female,2023-12-15 13:43:16,,0,0,2024-04-26 13:45:53,3.14,100.06,액션
4,1988,male,2023-07-12 00:10:23,2024-04-19 12:24:03,2,1,2023-12-24 21:15:41,1.78,113.86,전쟁
5,1994,male,2023-05-16 17:29:32,,2,0,2024-02-08 21:46:45,1.24,114.53,범죄
6,1998,male,2023-01-01 03:02:41,2023-02-09 16:37:43,1,1,2024-04-08 03:03:02,2.68,148.73,범죄
7,1997,female,2022-12-10 22:15:25,,1,0,2023-01-19 16:49:49,2.12,77.88,멜로
8,1993,male,2023-09-18 10:08:32,2024-01-26 07:32:46,2,1,2024-03-20 12:32:12,0.67,55.88,액션
9,1998,male,2023-07-30 05:37:52,,2,0,2024-05-20 02:58:51,2.49,69.14,멜로
10,1990,male,2022-10-29 21:40:52,,2,0,2023-10-17 13:53:17,2.35,100.73,범죄
11,1989,male,2023-02-15 06:14:21,,0,0,2024-04-12 18:19:53,1.48,46.56,전쟁
12,1999,female,2023-08-27 05:36:12,,0,0,2024-03-01 06:44:24,1.57,114.25,스포츠
13,1990,female,2024-06-14 23:28:03,,1,0,2024-07-05 12:21:33,1.26,109.53,스포츠
14,2001,female,2022-08-08 10:42:27,,0,0,2024-02-14 22:38:30,4.08,138.49,전쟁
15,2002,female,2024-03-30 22:31:38,2024-07-06 09:12:07,1,1,2024-05-11 05:31:34,0.9,68.08,멜로
16,2000,female,2023-01-24 09:09:42,,2,0,2024-06-08 16:56:42,3.94,96.92,스릴러
17,1997,female,2023-08-25 18:16:13,,2,0,2024-03-16 21:52:23,3.31,48.42,멜로
18,1998,male,2024-02-03 10:38:52,2024-04-21 18:46:33,2,1,2024-04-19 13:18:59,1.6,63.05,스포츠
19,1994,male,2023-08-31 18:37:00,,0,0,2023-09-25 00:48:17,3.14,89.98,스릴러
20,2000,female,2024-03-22 22:31:30,2024-04-04 11:21:48,2,1,2024-05-04 13:23:51,4.14,105.85,음악
21,1995,male,2023-02-19 08:25:50,2023-05-01 09:38:35,2,1,2023-10-09 06:01:16,2.3,137.92,전쟁
22,2001,female,2024-04-26 02:09:25,2024-07-02 16:30:26,0,1,2024-06-18 15:47:03,1.43,86.57,코미디
23,1991,male,2023-01-27 14:41:30,2024-06-27 09:13:55,1,1,2024-06-02 18:03:33,1.92,89.63,멜로
24,2002,male,2023-01-05 10:44:25,2023-08-03 03:21:52,2,1,2023-04-05 21:35:33,3.77,97.87,뮤지컬
25,1993,male,2023-04-06 22:24:48,2023-12-21 17:20:42,2,1,2023-04-25 12:45:37,2.18,121.93,전쟁
26,2001,female,2024-05-28 01:16:26,,2,0,2024-06-07 18:56:07,0.35,80.23,음악
27,2001,female,2023-04-21 04:54:19,2023-10-21 00:33:58,1,1,2023-05-17 07:37:43,3.21,72.75,스포츠
28,1989,female,2022-08-12 00:26:48,2023-01-20 13:35:28,0,1,2023-01-20 18:24:05,2.89,65.16,스릴러
29,1994,male,2023-03-17 02:05:43,,1,0,2024-04-28 07:06:42,1.65,84.61,멜로
30,1998,female,2023-10-11 07:43:12,2024-02-02 14:43:04,2,1,2023-12-13 05:54:15,2.29,85.3,음악
31,2002,male,2024-01-11 19:18:29,2024-06-20 14:07:08,1,1,2024-03-03 19:32:37,0.0,101.43,SF
32,1988,female,2023-04-12 12:37:14,,0,0,2023-12-26 14:35:06,3.93,105.16,SF
33,1992,female,2023-11-04 15:16:00,,2,0,2024-06-02 14:55:28,1.59,92.72,코미디
34,1999,male,2023-07-28 16:57:17,,1,0,2023-10-20 16:34:29,2.51,116.66,판타지
35,1992,female,2022-10-26 20:37:20,,1,0,2023-07-13 05:47:10,4.41,76.51,전쟁
36,1990,female,2024-03-11 05:27:11,,2,0,2024-05-02 16:36:26,1.71,125.82,멜로
37,1990,female,2022-11-28 12:38:48,,1,0,2023-10-03 19:56:38,3.25,145.66,액션
38,1988,male,2023-12-24 00:49:29,2023-12-29 13:23:43,0,1,2024-01-02 23:43:27,1.48,156.61,판타지
39,2001,female,2022-12-15 05:30:43,,1,0,2024-05-13 11:55:15,4.14,64.72,판타지
40,2001,female,2023-03-13 13:28:43,2023-12-15 01:10:20,1,1,2023-10-21 05:02:41,2.68,98.0,음악
41,1989,female,2024-02-06 15:15:15,2024-02-21 14:17:56,2,1,2024-04-13 16:45:54,4.55,132.1,뮤지컬
42,1998,male,2023-12-03 01:51:20,,2,0,2024-06-16 22:17:54,3.25,129.95,SF
43,1995,male,2023-07-30 17:05:50,2023-11-20 18:38:54,1,1,2024-05-15 21:22:18,2.43,78.15,액션
44,2001,female,2024-04-07 09:32:53,,2,0,2024-04-13 00:18:40,0.81,146.66,판타지
45,1989,female,2023-05-02 22:03:51,2024-01-28 05:04:19,0,1,2023-10-11 05:37:29,1.51,71.93,뮤지컬
46,1995,male,2024-03-27 05:34:42,,0,0,2024-07-05 21:40:01,3.86,56.77,스포츠
47,1990,female,2024-03-18 11:23:18,,2,0,2024-06-01 12:20:18,1.89,92.62,액션
48,1992,female,2023-04-06 22:04:27,,0,0,2023-10-20 14:18:55,1.08,140.0,범죄
49,2001,male,2024-02-12 02:22:00,2024-07-09 11:08:52,1,1,2024-05-02 14:34:46,3.0,132.35,코미디
50,1992,female,2023-03-24 19:57:37,2023-09-18 04:13:02,2,1,2024-02-01 01:39:07,2.3,121.77,스포츠
51,1991,female,2023-01-30 00:46:14,2023-11-12 02:26:01,1,1,2023-07-19 18:59:02,1.93,124.28,음악
52,1989,male,2024-04-03 05:49:50,,2,0,2024-04-16 23:49:58,2.87,88.85,음악
53,1996,female,2023-09-25 23:50:12,2024-03-10 14:34:58,0,1,2024-02-28 09:40:55,4.11,90.84,액션
54,1998,male,2022-09-12 02:06:28,2024-01-24 02:50:05,2,1,2022-10-12 18:19:25,3.01,80.52,액션
55,1994,female,2024-04-06 23:50:40,,2,0,2024-06-28 18:45:21,1.09,136.0,뮤지컬
56,1994,male,2023-03-31 20:07:35,,1,0,2023-12-24 11:14:16,0.53,115.69,범죄
57,1992,female,2023-12-20 07:23:56,,1,0,2024-06-18 18:37:10,3.79,80.22,멜로
58,1991,female,2023-07-26 03:57:40,,2,0,2024-05-25 22:54:14,3.39,94.71,스포츠
59,1988,male,2024-01-14 21:26:17,,1,0,2024-06-02 12:24:11,2.5,72.43,범죄
60,1988,female,2022-07-20 00:20:01,,1,0,2024-01-01 13:51:41,3.89,93.0,멜로
61,1991,male,2023-12-23 17:50:28,2024-02-07 05:30:27,2,1,2024-05-23 06:59:17,1.55,110.91,뮤지컬
62,1990,female,2024-07-06 10:55:55,2024-07-07 15:21:17,2,1,2024-07-10 00:39:33,3.39,87.9,스릴러
63,2000,male,2023-03-24 08:40:08,2024-06-25 09:07:22,0,1,2023-12-15 20:58:57,1.89,113.72,SF
64,2000,male,2022-09-06 04:14:44,,1,0,2023-04-27 11:16:38,1.6,69.38,스릴러
65,1988,female,2023-04-07 15:43:53,2023-08-16 17:44:12,1,1,2023-11-04 09:47:53,3.14,120.7,코미디
66,1992,male,2023-04-20 05:45:08,2023-10-07 12:04:06,0,1,2023-05-02 00:08:49,2.03,66.88,멜로
67,1995,male,2022-09-20 10:24:59,,0,0,2024-07-09 00:29:39,2.64,77.58,스포츠
68,1991,male,2022-10-31 01:08:33,2024-06-05 20:42:36,0,1,2023-05-03 20:30:09,2.2,90.47,뮤지컬
69,1997,male,2023-09-11 01:06:33,2024-02-26 15:00:46,2,1,2024-06-25 21:33:36,2.27,94.64,코미디
70,1999,female,2023-05-03 03:01:31,,0,0,2024-05-23 12:14:07,3.32,109.9,음악
71,1995,female,2024-01-28 18:09:04,2024-07-05 14:20:31,1,1,2024-06-23 10:01:38,4.26,151.22,판타지
72,2001,male,2023-03-12 03:59:30,,1,0,2024-05-20 13:38:59,3.16,49.13,SF
73,1999,male,2024-05-13 20:18:47,2024-05-24 11:51:17,0,1,2024-05-21 22:56:30,2.73,130.23,음악
