order_id,user_id,order_date,food_id,food_price,drink_id,drink_price,food_quantity,drink_quantity,total_purchase_amount,age,gender
1,1,2024-05-25 08:14:55,11,29000,4,6500,8,6,271000,1997,male
2,1,2024-06-22 07:37:55,9,27000,1,5000,13,10,401000,1997,male
3,1,2024-06-25 11:03:55,9,27000,10,9500,6,7,228500,1997,male
4,1,2024-07-05 11:22:55,6,25000,4,6500,10,7,295500,1997,male
5,2,2024-06-18 23:41:20,2,21000,10,9500,7,10,242000,2000,female
6,3,2022-10-01 05:59:33,7,24000,6,7500,9,4,246000,2002,male
7,3,2022-10-30 20:12:33,3,20000,12,10500,8,7,233500,2002,male
8,3,2022-11-25 08:57:33,2,21000,3,6000,7,3,165000,2002,male
9,3,2022-12-05 17:54:33,6,25000,4,6500,4,4,126000,2002,male
10,3,2022-12-10 02:36:33,13,31000,3,6000,5,8,203000,2002,male
11,3,2022-12-23 05:12:33,9,27000,11,10000,10,3,300000,2002,male
12,3,2023-01-19 06:24:33,5,22000,3,6000,14,4,332000,2002,male
13,3,2023-01-20 11:04:33,7,24000,13,11000,9,5,271000,2002,male
14,3,2023-02-20 10:26:33,2,21000,4,6500,5,5,137500,2002,male
15,3,2023-02-22 04:15:33,5,22000,4,6500,7,8,206000,2002,male
16,3,2023-03-01 19:35:33,1,23000,9,9000,4,8,164000,2002,male
17,3,2023-03-11 08:46:33,14,32000,9,9000,10,3,347000,2002,male
18,3,2023-03-15 00:01:33,13,31000,8,8500,10,3,335500,2002,male
19,3,2023-04-12 04:56:33,10,28000,12,10500,6,12,294000,2002,male
20,3,2023-04-13 10:18:33,8,26000,11,10000,10,5,310000,2002,male
21,3,2023-05-03 20:48:33,3,20000,11,10000,7,5,190000,2002,male
22,3,2023-05-16 03:47:33,14,32000,13,11000,4,7,205000,2002,male
23,3,2023-06-10 12:22:33,8,26000,4,6500,10,4,286000,2002,male
24,3,2023-06-29 09:39:33,12,30000,9,9000,12,5,405000,2002,male
25,3,2023-07-25 08:24:33,3,20000,9,9000,11,13,337000,2002,male
26,3,2023-08-17 07:14:33,4,23000,10,9500,4,10,187000,2002,male
27,3,2023-09-09 13:00:33,11,29000,4,6500,7,7,248500,2002,male
28,3,2023-09-24 07:32:33,10,28000,8,8500,6,9,244500,2002,male
29,3,2023-10-25 01:27:33,9,27000,13,11000,9,1,254000,2002,male
30,3,2023-11-21 12:29:33,12,30000,13,11000,6,5,235000,2002,male
31,3,2023-12-11 05:28:33,5,22000,1,5000,12,10,314000,2002,male
32,3,2024-01-09 23:59:33,2,21000,9,9000,1,4,57000,2002,male
33,3,2024-02-09 15:40:33,13,31000,1,5000,7,9,262000,2002,male
34,3,2024-02-20 12:00:33,5,22000,5,7000,3,8,122000,2002,male
35,3,2024-02-23 07:38:33,10,28000,7,8000,5,7,196000,2002,male
36,3,2024-03-19 14:47:33,2,21000,11,10000,8,7,238000,2002,male
37,3,2024-04-18 22:07:33,11,29000,3,6000,6,8,222000,2002,male
38,3,2024-05-07 23:33:33,2,21000,11,10000,10,10,310000,2002,male
39,3,2024-05-11 07:32:33,8,26000,13,11000,1,9,125000,2002,male
40,3,2024-06-09 16:54:33,4,23000,2,5500,1,6,56000,2002,male
41,3,2024-06-25 08:13:33,14,32000,10,9500,8,5,303500,2002,male
42,3,2024-07-08 17:17:33,3,20000,1,5000,7,14,210000,2002,male
43,4,2023-10-01 14:40:07,7,24000,10,9500,9,8,292000,2002,female
44,4,2023-10-22 03:33:07,12,30000,5,7000,9,8,326000,2002,female
45,4,2023-10-27 05:32:07,11,29000,13,11000,6,9,273000,2002,female
46,4,2023-10-29 14:22:07,12,30000,7,8000,7,11,298000,2002,female
47,4,2023-11-28 02:02:07,10,28000,5,7000,4,8,168000,2002,female
48,4,2023-12-14 08:11:07,11,29000,13,11000,10,9,389000,2002,female
49,4,2024-01-13 05:51:07,7,24000,10,9500,2,5,95500,2002,female
50,4,2024-02-07 17:12:07,11,29000,8,8500,10,6,341000,2002,female
51,4,2024-02-17 15:16:07,12,30000,13,11000,7,8,298000,2002,female
52,4,2024-03-11 05:55:07,1,23000,7,8000,5,6,163000,2002,female
53,4,2024-03-26 14:08:07,8,26000,13,11000,3,10,188000,2002,female
54,4,2024-04-01 02:41:07,8,26000,9,9000,8,8,280000,2002,female
55,4,2024-04-28 13:19:07,10,28000,7,8000,8,10,304000,2002,female
56,4,2024-05-05 19:24:07,8,26000,8,8500,11,10,371000,2002,female
57,4,2024-05-13 01:00:07,9,27000,8,8500,8,8,284000,2002,female
