return_id,user_id,return_date,returned_order_id,returned_food_id,returned_drink_id,return_quantity
1,1,2023-12-29 15:09:19,422,14,13,9
1,4,2023-10-10 00:51:59,123,8,8,2
2,4,2024-03-21 17:43:44,488,4,1,3
3,4,2024-06-18 15:44:14,251,10,7,7
1,5,2024-01-29 01:20:18,498,1,1,5
1,6,2023-09-25 06:19:31,254,8,12,4
2,6,2024-02-26 03:59:21,493,6,14,6
1,7,2023-08-06 01:50:27,107,4,14,10
1,8,2023-12-07 15:16:09,241,4,5,7
1,9,2023-11-06 13:52:40,291,6,11,6
2,9,2023-12-23 06:32:18,82,7,4,6
1,10,2023-11-30 22:01:41,138,13,14,3
1,12,2023-10-31 03:05:58,252,5,3,10
2,12,2024-06-29 05:22:08,248,8,12,4
3,12,2023-10-28 09:35:48,463,14,10,4
1,14,2024-03-08 14:37:31,236,9,10,1
2,14,2023-11-14 17:24:53,70,14,4,1
3,14,2024-06-28 18:05:37,331,10,5,5
1,16,2023-07-13 09:43:16,54,11,9,4
2,16,2023-12-25 21:52:08,147,13,2,10
3,16,2024-01-18 20:47:35,103,13,11,6
1,18,2024-04-16 00:36:22,65,9,2,5
2,18,2023-11-27 11:36:48,197,2,8,10
1,19,2023-12-29 06:54:58,348,14,10,4
1,20,2024-01-17 01:38:22,465,1,13,6
2,20,2024-05-16 22:41:54,157,14,11,8
3,20,2023-11-30 03:40:02,464,3,7,2
1,21,2023-10-17 02:39:44,22,8,4,1
1,22,2023-10-30 01:38:36,259,1,9,10
2,22,2024-03-13 01:54:30,195,3,11,4
1,23,2024-02-13 23:02:45,417,14,12,8
2,23,2023-09-18 19:44:00,102,8,9,2
3,23,2023-09-23 16:20:53,355,11,14,2
1,24,2023-09-25 19:32:04,257,10,13,2
2,24,2023-08-13 17:35:01,189,2,8,10
3,24,2024-05-07 01:49:57,54,8,4,2
1,25,2023-09-03 17:46:26,97,3,2,10
1,26,2024-04-24 01:49:52,366,3,8,1
1,27,2024-02-08 09:01:56,193,4,7,2
1,28,2023-08-11 12:26:36,212,9,14,6
2,28,2024-02-19 08:43:54,497,14,10,8
1,29,2024-04-27 21:21:12,105,7,3,8
2,29,2024-01-03 23:05:33,324,11,10,1
3,29,2024-06-21 12:27:38,226,9,12,10
1,30,2024-03-29 12:46:30,217,10,3,3
2,30,2024-02-17 23:46:14,280,14,2,2
3,30,2023-07-15 15:59:39,474,3,1,4
1,31,2024-02-22 01:37:47,393,3,12,4
2,31,2024-06-19 18:24:28,125,12,7,2
1,33,2023-08-08 07:25:30,171,6,7,9
1,34,2024-06-17 21:52:50,164,7,1,1
2,34,2023-09-03 04:56:11,458,5,14,1
3,34,2024-04-03 18:27:50,272,4,5,7
1,36,2023-08-21 03:42:23,428,7,12,5
2,36,2024-01-27 09:36:44,228,10,3,5
3,36,2023-07-21 05:06:50,245,14,14,9
1,38,2023-07-27 17:44:14,98,13,13,8
2,38,2023-12-27 06:48:29,200,3,9,2
3,38,2023-09-08 15:22:10,487,13,11,9
1,39,2024-07-08 00:33:25,214,4,5,10
1,41,2023-08-08 12:18:09,38,5,3,2
2,41,2024-06-18 00:48:05,331,3,4,2
1,43,2023-08-30 12:28:14,188,12,8,1
2,43,2023-07-28 11:39:53,339,14,10,1
3,43,2023-07-21 04:00:16,142,6,4,5
1,44,2024-06-08 07:24:25,354,2,4,10
1,45,2024-02-07 07:50:53,330,5,10,9
2,45,2023-11-26 23:17:31,314,10,10,7
1,46,2023-11-02 08:08:10,334,13,11,6
2,46,2023-10-18 08:46:20,175,14,10,9
1,47,2024-05-08 08:26:59,305,2,2,6
2,47,2023-11-04 09:53:32,92,12,11,10
1,48,2024-05-01 02:14:47,85,8,8,8
2,48,2023-11-12 22:41:55,29,2,7,6
1,49,2024-06-11 06:17:23,497,5,3,10
1,51,2024-01-12 04:35:31,223,6,6,6
2,51,2023-12-23 14:24:09,105,14,10,4
3,51,2023-10-03 23:44:23,419,2,12,10
1,52,2024-02-17 22:43:11,165,13,8,8
2,52,2023-12-15 12:06:51,464,9,5,2
3,52,2024-04-20 21:40:44,460,8,8,6
1,53,2023-11-12 16:05:26,148,5,2,8
2,53,2023-09-09 23:56:16,84,11,13,5
1,54,2024-02-21 12:22:26,352,9,5,2
2,54,2024-05-16 15:36:26,330,10,11,5
1,56,2024-01-12 05:13:19,265,8,10,3
2,56,2023-07-21 21:43:12,279,6,13,7
1,57,2024-04-05 02:05:59,249,2,5,3
1,58,2023-08-19 02:15:31,249,13,12,10
1,60,2024-01-10 08:15:13,66,3,8,10
2,60,2023-10-18 11:11:01,21,8,5,4
3,60,2024-02-27 14:18:24,204,1,2,4
1,62,2024-02-12 13:24:48,415,3,4,8
2,62,2023-12-30 17:56:18,390,7,10,7
3,62,2024-06-03 08:04:19,383,10,2,3
1,63,2023-07-18 17:14:53,126,6,10,7
2,63,2024-02-13 06:16:25,17,6,9,2
3,63,2024-04-16 10:25:34,277,2,10,9
1,64,2024-04-09 20:48:51,8,3,3,4
2,64,2023-09-25 10:30:06,118,7,8,8
1,65,2023-12-31 22:45:06,8,8,14,1
1,66,2024-02-04 18:54:33,466,2,7,10
1,67,2023-12-31 15:42:47,497,7,12,10
1,68,2023-07-12 12:23:41,270,13,10,1
1,69,2024-07-01 01:25:02,42,4,10,5
2,69,2023-07-19 08:35:07,245,6,8,6
1,70,2024-04-15 15:15:22,459,13,3,7
2,70,2023-11-18 07:41:21,162,9,9,10
1,71,2024-01-18 09:03:09,6,12,3,1
2,71,2023-10-27 21:08:01,107,6,12,4
3,71,2023-11-19 03:17:07,102,2,7,9
1,72,2024-02-17 12:56:09,196,8,13,9
1,73,2024-02-24 16:03:44,323,13,11,3
2,73,2023-08-01 02:56:57,260,3,7,4
3,73,2023-10-23 19:29:42,262,7,1,8
1,74,2023-12-29 01:09:47,81,8,7,4
1,75,2024-02-18 17:12:35,318,3,13,3
2,75,2024-06-30 19:42:49,185,13,9,5
1,77,2023-12-16 11:25:55,371,9,13,7
2,77,2024-07-04 03:44:20,315,2,3,2
3,77,2024-01-31 10:07:34,103,10,7,8
1,78,2024-02-28 23:19:48,147,7,6,2
2,78,2024-04-24 11:34:33,43,12,12,1
1,79,2023-07-24 01:19:07,67,12,5,1
2,79,2023-09-27 04:49:00,180,4,2,5
3,79,2024-05-14 17:04:23,94,14,14,10
1,80,2024-05-18 14:30:32,410,5,6,9
1,81,2024-02-12 02:18:39,223,4,11,1
2,81,2024-03-21 12:28:21,78,6,1,5
3,81,2023-12-05 13:53:31,91,8,7,3
1,82,2023-10-27 21:33:35,440,4,2,10
2,82,2024-01-02 11:14:27,207,12,13,1
1,83,2023-07-15 11:34:34,146,3,6,2
2,83,2023-08-29 10:01:35,279,8,14,6
1,86,2023-09-01 07:40:37,343,12,8,1
2,86,2023-10-24 14:56:39,226,10,10,10
3,86,2023-11-11 12:33:25,363,14,7,9
1,87,2023-08-06 22:46:08,189,8,1,2
2,87,2024-06-01 02:09:23,185,11,10,6
3,87,2024-06-20 23:09:21,128,4,12,5
1,88,2023-12-05 00:35:41,11,4,12,5
2,88,2023-07-20 05:29:40,439,2,6,2
1,89,2023-07-21 08:05:57,82,1,5,9
1,90,2024-02-01 09:45:14,172,13,3,4
1,91,2023-08-12 22:23:16,45,11,5,8
2,91,2023-10-13 09:16:06,389,8,5,7
3,91,2024-04-17 05:59:52,445,10,5,5
1,93,2023-11-04 06:25:44,76,6,11,9
1,94,2023-09-17 09:20:39,221,12,13,1
1,95,2024-05-24 18:23:33,125,10,10,3
2,95,2023-12-01 07:50:42,198,9,4,4
3,95,2023-11-03 01:44:05,393,7,7,3
1,96,2023-11-22 01:57:33,68,8,7,1
1,98,2024-05-24 10:20:56,273,14,9,10
2,98,2023-09-14 08:58:15,222,14,3,3
1,99,2024-06-27 10:26:03,221,1,6,3
1,100,2024-05-10 10:14:22,310,9,7,6
2,100,2024-01-03 01:13:32,308,7,9,7
1,101,2023-08-17 09:49:22,64,14,1,2
2,101,2023-07-31 15:13:37,187,11,6,4
1,102,2023-10-30 00:39:10,12,12,4,7
1,104,2024-02-20 20:24:08,53,1,3,5
1,105,2024-03-24 16:07:19,479,14,4,6
2,105,2023-09-26 21:50:55,210,9,9,1
1,106,2024-05-25 16:15:52,499,4,14,1
1,107,2023-11-13 05:43:17,92,11,10,3
2,107,2023-11-11 12:23:38,447,7,11,4
1,108,2024-06-08 17:11:29,127,11,11,1
1,110,2023-08-04 13:28:37,132,11,3,10
2,110,2023-12-16 06:50:47,218,13,5,5
1,111,2023-11-28 00:01:17,31,8,11,1
2,111,2024-03-24 07:18:25,241,8,9,4
3,111,2024-04-27 12:00:13,445,8,6,1
1,112,2023-12-09 06:54:07,470,1,3,4
2,112,2024-05-31 04:17:31,347,11,9,5
3,112,2024-02-05 18:35:06,32,14,10,7
1,114,2024-02-18 03:23:07,24,9,9,2
1,115,2024-01-14 13:45:05,294,1,3,9
2,115,2024-02-15 11:07:54,214,5,7,6
3,115,2024-01-06 22:07:53,173,8,1,5
1,116,2024-06-24 18:21:27,449,5,9,1
1,118,2023-08-10 19:16:06,340,9,11,4
