return_id,user_id,return_date,returned_order_id,returned_food_id,returned_drink_id,return_quantity
1,1,2024-01-06 06:04:35,364,1,3,2
1,3,2024-04-13 14:32:49,59,13,8,3
2,3,2024-04-18 17:10:20,386,5,2,6
1,4,2023-11-29 23:37:33,340,1,2,6
2,4,2024-04-21 23:30:10,34,9,6,9
3,4,2024-06-22 04:27:32,20,10,3,1
1,5,2024-06-19 20:16:41,265,5,5,5
1,7,2023-09-06 22:06:02,102,7,4,10
2,7,2024-04-19 01:15:45,164,7,7,3
1,8,2024-04-23 05:40:01,460,9,4,1
2,8,2024-01-23 07:45:32,332,10,4,4
3,8,2023-12-03 21:25:43,127,14,2,6
1,9,2024-02-29 11:18:01,99,1,11,10
1,10,2023-11-30 08:25:14,287,4,6,6
1,11,2023-12-17 04:02:59,486,10,5,1
2,11,2023-11-24 22:35:53,24,9,1,5
1,12,2023-09-22 12:49:39,407,14,1,9
1,13,2023-11-19 12:56:33,116,3,10,6
2,13,2024-06-30 07:54:46,49,7,12,3
3,13,2023-09-13 10:33:05,224,5,6,1
1,14,2023-10-17 04:09:27,394,11,7,2
1,15,2024-06-08 22:53:34,255,14,6,2
2,15,2023-08-28 02:16:15,278,9,11,9
1,17,2024-01-19 10:14:55,302,7,7,8
2,17,2023-09-20 05:30:54,392,5,6,4
1,18,2024-03-23 00:16:38,427,14,2,9
2,18,2024-01-20 07:12:01,191,1,10,7
3,18,2023-08-23 04:48:40,435,5,9,7
1,19,2023-09-11 13:51:55,131,2,5,8
2,19,2024-01-31 06:27:35,469,6,2,4
1,20,2024-06-07 18:43:32,96,1,9,9
2,20,2023-12-24 04:31:38,250,8,9,6
1,21,2024-06-14 23:49:29,94,7,6,7
2,21,2023-09-20 07:10:24,163,6,10,7
1,22,2023-09-29 19:49:18,215,13,8,1
1,23,2024-02-22 09:48:51,109,9,11,3
1,26,2024-03-24 10:58:08,119,13,3,8
2,26,2023-12-20 06:53:53,115,8,1,4
1,27,2024-05-07 11:51:43,422,7,13,1
2,27,2024-06-15 04:32:34,3,5,7,6
1,28,2024-06-06 22:58:16,263,6,2,4
2,28,2023-08-13 22:15:38,340,14,4,7
3,28,2023-11-10 15:13:58,277,8,3,10
1,29,2024-05-09 22:26:31,131,11,3,8
1,30,2024-01-17 12:56:27,33,2,3,10
1,31,2024-05-08 08:10:44,245,6,14,8
2,31,2024-03-13 15:46:54,132,8,2,4
1,32,2023-10-16 08:52:38,488,9,5,3
1,33,2024-06-16 16:38:21,296,2,2,5
2,33,2023-12-16 15:46:28,411,11,8,6
3,33,2024-02-06 21:56:41,284,11,3,6
1,34,2023-10-22 14:14:23,27,7,13,7
1,37,2023-12-30 01:32:39,191,5,10,2
1,38,2024-06-02 22:08:28,281,3,14,2
2,38,2023-09-27 02:36:47,259,6,5,3
1,39,2024-01-22 22:18:11,121,4,1,7
